home_team,away_team,elo_diff,elo_sum,home_team_h2h_wins,away_team_h2h_wins,h2h_draws,rank_diff,rank_sum,is_friendly,home_count_last5,away_count_last5,pts_pg_diff_last5,pts_pg_sum_last5,gf_pg_diff_last5,ga_pg_diff_last5,neutral
Mexico,South Africa,229.5508164822179,3510.3821293395067,2,1,1,-45,75,False,5,5,1.4000000000000001,3.0,0.19999999999999996,-1.4000000000000001,False
South Korea,Czech Republic,142.92624997998996,3571.0512292409703,1,1,1,-16,66,False,5,5,0.19999999999999996,3.4000000000000004,-1.4,-0.19999999999999996,True
Canada,Bosnia and Herzegovina,207.33218738508276,3407.1903806477467,0,0,0,-35,95,False,5,5,-0.40000000000000013,3.2,-1.2,-0.6,False
United States,Paraguay,-13.543770580330374,3619.024027808907,5,2,2,-24,56,False,5,5,0.6000000000000001,3.0,1.2000000000000002,0.6000000000000001,False
Australia,Turkey,32.3393697935262,3705.40572373625,0,2,0,5,49,False,5,5,-1.4000000000000001,3.8,-0.6000000000000001,0.7999999999999999,True
Haiti,Scotland,-71.5622428559816,3456.5451364987603,0,0,0,40,126,False,5,5,0.19999999999999996,2.5999999999999996,-0.8,-0.6000000000000001,True
Brazil,Morocco,63.83065009733696,3896.7955389640883,2,1,0,-2,14,False,5,5,-0.8000000000000003,3.6,0.19999999999999996,0.9999999999999999,True
Qatar,Switzerland,-253.87956196877963,3448.1924823022437,1,0,0,36,74,False,5,5,-0.3999999999999999,2.0,-0.8,0.40000000000000013,True
Germany,Curaçao,321.308535667584,3540.8743983234945,0,0,0,-72,92,False,5,5,2.0,4.0,1.2,-0.8,True
Ivory Coast,Ecuador,-169.7797176622346,3655.6628082209972,0,0,0,11,57,False,5,5,1.0,3.8,1.6,0.4,True
Netherlands,Japan,31.330556477422533,3902.6325755855296,2,0,1,-11,25,False,5,5,-0.7999999999999998,5.2,0.3999999999999999,0.19999999999999996,True
Sweden,Tunisia,-47.44186182006979,3445.7292729758406,2,1,1,-6,82,False,5,5,0.19999999999999996,2.5999999999999996,0.6000000000000001,0.8,True
Belgium,Egypt,134.66347455045502,3645.0731878886063,1,3,0,-20,38,False,5,5,0.6000000000000001,3.8000000000000003,2.2,0.6,True
Iran,New Zealand,73.0820550725291,3636.3806993017106,1,0,1,-64,106,False,5,5,0.8,2.4000000000000004,0.40000000000000013,-1.2000000000000002,True
Spain,Cape Verde,473.22955582149507,3710.5278311541656,0,0,0,-67,71,False,5,5,1.0000000000000002,3.4000000000000004,1.2000000000000002,-0.7999999999999999,True
Saudi Arabia,Uruguay,-219.01935643738693,3590.497412898827,1,1,1,44,78,False,5,5,-0.6,1.7999999999999998,-0.20000000000000007,0.40000000000000013,True
Austria,Jordan,30.91139549610648,3513.0456843237407,0,0,0,-39,87,False,5,5,0.3999999999999999,3.6,0.19999999999999996,-0.7999999999999999,True
France,Senegal,212.11345199786274,3939.9394415027305,0,2,0,-13,15,False,5,5,0.20000000000000018,5.0,1.4,0.19999999999999996,True
Iraq,Norway,-117.63548881270981,3562.0290856082024,0,0,0,26,88,False,5,5,0.19999999999999996,3.4000000000000004,-0.8,0.0,True
Argentina,Algeria,275.16286621857193,3876.41525008618,1,0,0,-25,31,False,5,5,1.0,5.0,1.0,-0.39999999999999997,True
Ghana,Panama,-161.2904436209194,3438.291204844443,0,0,0,41,107,False,5,5,-1.0,2.2,-0.7999999999999999,1.2,True
